id,from_energy_unit_id,to_energy_unit_id,conversion_factor
2,360,1,0.2930710000000000
5,193,360,1000.0000000000000000
6,360,193,0.0010000000000000
9,357,5,0.0010000000000000
10,5,357,1000.0000000000000000
11,235,5,0.1020000000000000
12,5,235,9.8040000000000000
13,5,337,0.9804000000000000
14,337,5,1.0200000000000000
2181,3,507,0.1054800000000000
2182,149,507,1.0548000000000000
17,357,337,0.0010200000000000
18,337,357,1020.0001600000000000
19,235,337,0.1000000000000000
20,337,235,10.0000000000000000
21,192,359,1000.0000000000000000
22,359,192,0.0010000000000000
23,358,126,0.0833300000000000
24,126,358,12.0000000000000000
25,126,191,0.0120000000000000
26,191,126,83.3330000000000000
27,358,191,0.0010000000000000
28,191,358,1000.0000000000000000
29,336,362,1000.0000000000000000
30,362,336,0.0010000000000000
31,406,407,0.0074805200000000
32,406,7,0.1000000000000000
33,406,8,10.0000000000000000
34,406,275,0.7480520000000000
35,406,9,74.8052000000000000
36,406,6,0.1000000000000000
37,406,316,0.7480520000000000
38,406,11,0.0748052000000000
39,406,383,0.0100000000000000
40,406,255,7.4805200000000000
41,406,409,0.2831680000000000
42,407,7,13.3681000000000000
43,407,8,1336.8100000000000000
44,407,275,100.0000000000000000
45,407,9,10000.0000000000000000
46,407,6,1.3368100000000000
47,407,316,100.0000000000000000
48,407,11,10.0000000000000000
49,407,383,1336.8100000000000000
50,407,255,10.0000000000000000
51,407,409,37.8541000000000000
52,407,406,133.6810000000000000
53,7,275,7.4805200000000000
54,7,316,7.4805200000000000
55,7,383,0.1000000000000000
56,7,255,0.7480520000000000
57,7,409,2.8316800000000000
58,7,407,0.0748052000000000
59,7,406,10.0000000000000000
60,8,275,0.0748052000000000
61,8,9,7.4805200000000000
62,8,6,0.0100000000000000
63,8,316,0.0748052000000000
64,8,11,0.0074805200000000
65,8,383,0.0010000000000000
66,8,255,0.0074805200000000
67,8,409,0.0283168000000000
68,8,407,0.0007480000000000
69,8,406,0.1000000000000000
70,275,9,100.0000000000000000
71,275,6,0.1336810000000000
72,275,316,1.0000000000000000
73,275,11,0.1000000000000000
74,275,383,13.3681000000000000
75,275,255,0.1000000000000000
76,275,409,0.3785410000000000
77,275,406,1.3368100000000000
78,275,407,0.0100000000000000
79,275,7,0.1336810000000000
80,275,8,13.3681000000000000
82,9,316,0.0100000000000000
83,9,11,0.0010000000000000
84,9,383,0.0001336810000000
85,9,255,0.0010000000000000
86,9,409,0.0037854100000000
87,9,406,0.0133681000000000
88,9,407,0.0001000000000000
89,9,8,0.1336810000000000
90,9,275,0.0100000000000000
91,6,316,7.4805200000000000
92,6,11,0.7480520000000000
93,6,255,0.7480520000000000
95,6,406,10.0000000000000000
96,6,407,0.7480520000000000
97,6,7,1.0000000000000000
98,6,8,100.0000000000000000
99,6,275,7.4805200000000000
673,626,624,1.3079500000000000
101,316,11,0.1000000000000000
102,316,383,13.3681000000000000
103,316,255,0.1000000000000000
104,316,409,0.3785410000000000
105,316,406,1.3368100000000000
106,316,407,0.0100000000000000
107,316,7,0.1336810000000000
108,316,8,1.3368100000000000
109,316,275,1.0000000000000000
110,316,9,100.0000000000000000
111,316,6,0.1336810000000000
112,11,255,1.0000000000000000
113,11,383,133.6810000000000000
114,11,409,3.7854100000000000
115,11,406,1.3368100000000000
116,11,407,0.0100000000000000
117,11,8,133.6810000000000000
118,11,275,10.0000000000000000
119,11,9,1000.0000000000000000
120,11,6,1.3368100000000000
121,11,316,10.0000000000000000
122,383,255,0.0074805200000000
123,383,409,28.3168000000000000
124,383,406,100.0000000000000000
125,383,407,0.0007480520000000
126,383,7,10.0000000000000000
127,383,8,1000.0000000000000000
128,383,275,0.0748052000000000
129,383,9,7480.5200000000000000
130,383,6,10.0000000000000000
131,383,316,0.0748805200000000
132,383,11,0.0074805200000000
133,255,409,3.7854100000000000
81,9,6,0.0013368100000000
1,1,360,3.4121400000000000
8,193,408,0.2930710000000000
4,360,408,0.0002930710000000
3,408,360,3412.1400000000000000
134,255,406,0.1336805000000000
135,255,407,0.1000000000000000
136,255,7,1.3368050000000000
137,255,8,133.6805000000000000
138,255,275,10.0000000000000000
139,255,9,1000.0000000000000000
140,255,6,1.3368050000000000
141,255,316,10.0000000000000000
142,255,11,1.0000000000000000
143,255,383,133.6810000000000000
144,1,408,0.0010000000000000
146,408,1,1000.0000000000000000
148,3,5,0.1000000000000000
149,5,3,10.0000000000000000
150,3,357,100.0000000000000000
151,357,3,0.0100000000000000
152,3,235,0.9652509650000000
153,235,3,1.0360000000000000
154,3,337,0.0965251000000000
155,337,3,10.3600000000000000
156,4,192,1.1940000000000000
157,192,4,0.8375209380000000
2161,676,11,1.0000000000000000
159,359,4,0.0008375210000000
160,7,6,1.0000000000000000
161,7,11,0.7480520000000000
162,11,7,1.3368054630000000
163,7,9,748.0520000000000000
165,7,8,100.0000000000000000
166,8,7,0.0100000000000000
167,194,361,1000.0000000000000000
168,128,361,137.4000000000000000
169,405,357,10.2700000000000000
170,405,5,0.0102700000000000
171,405,235,0.1000000000000000
172,405,337,0.0100000000000000
173,3,405,9.6700000000000000
174,361,128,0.0072780204000000
175,361,194,0.0010000000000000
176,194,128,7.2780204000000000
177,405,3,0.1034126163000000
178,235,405,10.0000000000000000
179,357,405,0.0973709834000000
180,337,405,100.0000000000000000
181,5,405,97.3709834469000000
182,6,383,0.1000000000000000
183,409,406,3.5314724828000000
184,409,407,0.0264172177000000
185,409,7,0.3531472483000000
186,409,8,35.3147248277000000
187,409,275,2.6417217686000000
188,409,9,264.1721768580000000
145,1,193,0.0034121400000000
190,409,316,2.6417217686000000
191,409,11,0.2641721769000000
192,409,383,0.0353147248000000
193,409,255,0.2641721769000000
100,6,9,748.0520000000000000
164,9,7,0.0013368100000000
214,431,169,0.0000000000000000
234,430,170,0.0000000000000000
254,1,1,1.0000000000000000
274,5,149,1.0000000000000000
294,149,5,1.0000000000000000
354,149,235,9.6525096500000000
315,235,149,0.1036000000000000
355,149,337,0.9652510000000000
374,337,149,1.0360000000000000
316,149,357,1000.0000000000000000
317,357,149,0.0010000000000000
335,149,405,96.7000000000000000
356,405,149,0.0103412600000000
693,626,622,0.0000000000000000
713,626,620,0.0000000000000000
334,3,149,0.1000000000000000
314,149,3,10.0000000000000000
147,193,1,293.0710000000000000
753,626,170,0.0000000000000000
434,384,453,91.5000000000000000
474,453,384,0.0109200000000000
513,506,4,1.0000000000000000
773,626,430,1.3079500000000000
553,545,543,8.7410000000000000
554,544,542,12.0760000000000000
555,543,541,0.0000000000000000
556,542,540,0.0000000000000000
559,543,545,0.1144000000000000
579,542,544,0.0828000000000000
599,552,550,0.1336810000000000
600,553,551,0.1336810000000000
601,550,552,7.4805200000000000
602,551,553,7.4805200000000000
603,552,546,0.1374160000000000
604,553,547,0.1202860000000000
605,552,548,137.4160000000000000
606,553,549,120.2860000000000000
607,548,552,0.0072800000000000
608,549,553,0.0083100000000000
609,546,552,7.2770000000000000
610,547,553,8.3135000000000000
611,550,546,1.0279000000000000
612,551,547,0.8998000000000000
613,546,550,0.9729000000000000
614,547,551,1.1110000000000000
633,170,620,2000.0000000000000000
653,169,621,2000.0000000000000000
714,626,600,1.3079500000000000
774,624,626,0.7645550000000000
754,624,622,0.0000000000000000
715,624,620,0.0000000000000000
775,624,170,0.0000000000000000
674,624,430,1.0000000000000000
776,624,600,1.0000000000000000
755,622,626,0.0000000000000000
675,622,624,0.0000000000000000
756,622,620,2.2062000000000000
777,622,170,0.0011000000000000
694,622,430,0.0000000000000000
695,622,600,0.0000000000000000
716,620,626,0.0000000000000000
696,620,624,0.0000000000000000
697,620,622,0.4535900000000000
778,620,170,0.0005000000000000
698,620,430,0.0000000000000000
699,620,600,0.0000000000000000
7,408,193,3.4121400000000000
557,545,541,0.0085000000000000
632,545,579,8.5000000000000000
558,544,540,0.0124000000000000
734,170,626,0.0000000000000000
737,621,625,0.0000000000000000
993,507,3,9.4804300000000000
1013,507,357,948.0430000000000000
1033,506,359,1194.0000000000000000
1053,541,579,1000.0000000000000000
1074,629,3,0.0100000000000000
1136,540,776,1000.0000000000000000
779,170,624,0.0000000000000000
1073,547,549,1000.0000000000000000
1093,629,357,1.0200000000000000
717,170,622,907.1850000000000000
724,625,431,1.0000000000000000
1153,579,545,0.1176500000000000
1173,579,543,1.0284000000000000
700,170,430,0.0000000000000000
780,170,600,0.0000000000000000
735,430,626,0.7645550000000000
676,430,624,1.0000000000000000
702,600,620,0.0000000000000000
701,430,622,0.0000000000000000
707,623,431,0.0000000000000000
736,430,620,0.0000000000000000
1194,543,579,0.9724000000000000
1195,776,544,0.0806000000000000
1196,776,540,0.0010000000000000
781,430,600,1.0000000000000000
719,600,626,0.7645550000000000
720,600,624,1.0000000000000000
723,625,623,0.0000000000000000
783,621,627,0.0000000000000000
1175,541,545,117.6500000000000000
1177,540,544,80.6452000000000000
757,600,622,0.0000000000000000
721,600,170,0.0000000000000000
758,600,430,1.0000000000000000
760,627,621,0.0000000000000000
761,623,627,0.0000000000000000
1134,776,542,0.9738700000000000
703,627,625,1.3079500000000000
759,627,623,0.0000000000000000
722,627,169,0.0000000000000000
762,623,169,0.0011023100000000
1176,579,541,0.0010000000000000
704,627,431,1.3079500000000000
677,625,627,0.7645550000000000
678,625,621,0.0000000000000000
705,625,169,0.0000000000000000
782,623,625,0.0000000000000000
679,169,625,0.0000000000000000
682,431,621,0.0000000000000000
1154,544,776,12.4000000000000000
706,623,621,2.2046200000000000
784,621,623,0.4535920000000000
763,621,169,0.0005000000000000
738,621,431,0.0000000000000000
708,169,627,0.0000000000000000
739,169,623,907.1850000000000000
1135,542,776,1.0268000000000000
740,169,431,0.0000000000000000
680,431,627,0.7645550000000000
786,431,625,1.0000000000000000
681,431,623,0.0000000000000000
933,384,636,0.9150000000000000
189,409,6,0.3531472483000000
94,6,409,2.8316800000000000
893,508,3,0.3630300000000000
953,636,384,1.0920000000000000
1253,548,546,0.0010000000000000
1254,549,547,0.0010000000000000
1255,453,877,0.0010000000000000
1257,357,507,0.0010551000000000
1258,360,853,0.0010551000000000
1259,359,858,0.0010551000000000
1260,776,861,0.0010551000000000
1261,549,864,0.0010551000000000
1262,548,867,0.0010551000000000
1263,362,870,0.0010551000000000
1264,361,873,0.0010551000000000
1265,358,876,0.0010551000000000
1266,453,880,0.0010551000000000
1294,357,854,0.2930710000000000
1295,359,856,0.2930710000000000
1296,776,859,0.2930710000000000
1297,549,862,0.2930710000000000
1298,548,865,0.2930710000000000
1299,362,868,0.2930710000000000
1300,361,871,0.2930710000000000
