country,zipcode,latitude,longitude
US,NA,42.4096,-72.1083
US,null,27.6648274,-81.5157535
CA,L5R4J,43.6172714,-79.700859
CA,L7E 4,43.8522469,-79.7053707
CA,M1V 4,43.8222185,-79.2535437
CA,N6M 1,42.9993883,-81.1421553
CA,L6W 3,43.6865049,-79.7212012
CA,N4G2R,42.8534543,-80.7149081
CA,H4N 2,45.5189109,-73.6635496
CA,S4N 6,50.4738769,-104.5655258
CA,N6E 1,42.9311829,-81.2120878
CA,V5M 2,49.2584295,-123.0397579
CA,H4N 2,45.5103455,-73.6690074
CA,L3R 5,43.8350484,-79.3204164
CA,P0G 1,45.4865987,-80.2008332
CA,L4K 4,43.8269962,-79.5289048
CA,L4B 4,43.8740032,-79.3856503
CA,N4X1B,43.2385978,-81.1310348
US,1810,42.6743002,-71.1456825
US,1,27.7717551,-82.6344502
CA,T6S 1,53.5762245,-113.2991904
US,NA,42.4096,-72.1083
US,TBA,40.6331249,-89.3985283
US,NA,42.4096,-72.1083
CA,L9W2Z,43.90595,-80.1193041
US,60540-934,41.7742999,-88.201983
CA,T9E 8,53.3685243,-113.5102165
CA,null,44.7004882,-63.5853168
US,#N/A,40.6331249,-89.3985283
CA,T6P 1,53.507677,-113.3524476
US,NA,42.4096,-72.1083
CA,T2C 5,50.9939417,-113.947088
US,NA,42.4096,-72.1083
US,NA,42.4096,-72.1083
CA,T8H 2,53.5782471,-113.2935099
US,NA,42.4096,-72.1083
US,7032,40.7683087,-74.1344561
CA,T8H 1,53.567797,-113.3295549
CA,M8Z 1,43.6172424,-79.5143219
CA,V5J 4,49.2032338,-122.9774461
US,NA,42.4096,-72.1083
US,NA,42.4096,-72.1083
CA,L5T 2,43.6549836,-79.6717862
US,NA,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,null,30.3965151,-86.598576
US,NA,39.9361,-75.1563
US,1810,0,0
US,6403,41.4375722,-73.0624286
CA,L9T5G,43.533489,-79.903756
CA,L0N1S,44.074439,-80.1868323
US,TBD4,40.6331249,-89.3985283
US,null,30.5102029,-87.2174235
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
US,NA,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
US,NA,42.4096,-72.1083
US,null,30.4455776,-86.6443017
US,NA,39.9361,-75.1563
